Person_ID,Site_ID,taxonomic_group,detailed_outcome,outcome_units,outcome_notes,sampling_method,processing_method,sample_area,sample_depth,fire_severity,comparison_type,last_burned_control,last_burned_treatment,control_mean,control_var,control_n,treatment_mean,treatment_var,treatment_n,before_control_mean,before_control_var,before_control_n,before_treatment_mean,before_treatment_var,before_treatment_n,var_type,comparison_location,precise_p_value,approximate_p_value,control_mean_conservative,treatment_mean_conservative,control_mean_estimate,Control_var_estimate,treatment_mean_estimate,treatment_var_estimate,ag_severity_reported,ag_severity_units,ag_severity_index,bg_severity_reported,bg_severity_units,bg_severity_index,Control_mean_combined,Control_var_combined,Treatment_mean_combined,Treatment_var_combined
Niamh,Beucke_2009_1,Scarabaeoidea,density of individuals,Number of individuals,O. striatulus (Palisot de Beauvois),pitfall traps,NA,NA,0,,unburned vs burned,-999,333,0,,4,0,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,0.0000001,0.0000001,,,,,,,,,,,0,,0,
Niamh,Beucke_2009_2,Scarabaeoidea,density of individuals,Number of individuals,O. striatulus (Palisot de Beauvois),pitfall traps,NA,NA,0,,unburned vs burned,-999,333,2.75,,4,3.25,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,2.75,3.25,,,,,,,,,,,2.75,,3.25,
Niamh,Beucke_2009_1,Scarabaeoidea,density of individuals,Number of individuals,O. subaeneus (Palisot de Beauvois),pitfall traps,NA,NA,0,,unburned vs burned,-999,333,0.75,,4,0,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,0.75,0.0000001,,,,,,,,,,,0.75,,0,
Niamh,Beucke_2009_2,Scarabaeoidea,density of individuals,Number of individuals,O. subaeneus (Palisot de Beauvois),pitfall traps,NA,NA,0,,unburned vs burned,-999,333,0,,4,0,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,0.0000001,0.0000001,,,,,,,,,,,0,,0,
Niamh,Beucke_2009_1,Scarabaeoidea,density of individuals,Number of individuals,O. taurus (Schreber),pitfall traps,NA,NA,0,,unburned vs burned,-999,333,0,,4,0,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,0.0000001,0.0000001,,,,,,,,,,,0,,0,
Niamh,Beucke_2009_2,Scarabaeoidea,density of individuals,Number of individuals,O. taurus (Schreber),pitfall traps,NA,NA,0,,unburned vs burned,-999,333,0,,4,0.25,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,0.0000001,0.25,,,,,,,,,,,0,,0.25,
Niamh,Beucke_2009_1,Scarabaeoidea,density of individuals,Number of individuals,O. tuberculifrons Harold,pitfall traps,NA,NA,0,,unburned vs burned,-999,333,9,,4,7.75,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,9,7.75,,,,,,,,,,,9,,7.75,
Niamh,Beucke_2009_2,Scarabaeoidea,density of individuals,Number of individuals,O. tuberculifrons Harold,pitfall traps,NA,NA,0,,unburned vs burned,-999,333,0,,4,16.5,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,0.0000001,16.5,,,,,,,,,,,0,,16.5,
Niamh,Beucke_2009_1,Scarabaeoidea,density of individuals,Number of individuals,Geotrupes blackburnii blackburnii (F.),pitfall traps,NA,NA,0,,unburned vs burned,-999,333,0,,4,0,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,0.0000001,0.0000001,,,,,,,,,,,0,,0,
Niamh,Beucke_2009_2,Scarabaeoidea,density of individuals,Number of individuals,Geotrupes blackburnii blackburnii (F.),pitfall traps,NA,NA,0,,unburned vs burned,-999,333,0.25,,4,0,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,0.25,0.0000001,,,,,,,,,,,0.25,,0,
